,VWRF,UWRF,WRF_WS
2016-01-01 00:00:00,0.2713690400123596,3.2024645805358887,3.2139415902384
2016-01-01 01:00:00,0.6709039211273193,2.4335055351257324,2.524294210442117
2016-01-01 02:00:00,1.1419668197631836,1.8980233669281006,2.2150803413973774
2016-01-01 03:00:00,1.2608981132507324,1.7085480690002441,2.1234407352416786
2016-01-01 04:00:00,1.3543663024902344,0.9629895687103271,1.6618233933742692
2016-01-01 05:00:00,1.2440600395202637,2.2924818992614746,2.6082865334109013
2016-01-01 06:00:00,1.493937373161316,2.2354822158813477,2.688722673027085
2016-01-01 07:00:00,1.620507001876831,2.337667942047119,2.844421619663064
2016-01-01 08:00:00,1.8985669612884521,2.7882065773010254,3.373225818738017
2016-01-01 09:00:00,2.215122699737549,3.221043109893799,3.9092054551643716
2016-01-01 10:00:00,2.308678388595581,3.680500030517578,4.344660674507065
2016-01-01 11:00:00,1.9772729873657227,4.053402900695801,4.5099538292465144
2016-01-01 12:00:00,0.398387610912323,6.226560592651367,6.239292387962546
2016-01-01 13:00:00,0.4554290771484375,4.713470458984375,4.735421777627696
2016-01-01 14:00:00,0.5730729103088379,4.957404136657715,4.990417651327478
2016-01-01 15:00:00,0.15078634023666382,6.5045318603515625,6.506279370172366
2016-01-01 16:00:00,0.06643657386302948,7.051812171936035,7.052125121310021
2016-01-01 17:00:00,-0.08305732160806656,6.7497758865356445,6.750286885542773
2016-01-01 18:00:00,-0.32136043906211853,6.724362373352051,6.732036977018696
2016-01-01 19:00:00,-0.4552275538444519,6.4963788986206055,6.512309184937573
2016-01-01 20:00:00,-0.5140791535377502,6.278463840484619,6.299475023553547
2016-01-01 21:00:00,-0.7092543840408325,6.1874799728393555,6.227997286091995
2016-01-01 22:00:00,0.05676673352718353,3.959030866622925,3.959437821826277
2016-01-01 23:00:00,0.8116981983184814,2.595407247543335,2.7193735943694715
2016-01-02 00:00:00,1.4907851219177246,2.205798387527466,2.6623273288891456
2016-01-02 01:00:00,1.9772489070892334,2.125264883041382,2.9028027944857824
2016-01-02 02:00:00,2.403008460998535,2.2398416996002197,3.285017580302813
2016-01-02 03:00:00,2.3023531436920166,2.0314395427703857,3.070435899705393
2016-01-02 04:00:00,2.8069634437561035,4.1736602783203125,5.02975982462502
2016-01-02 05:00:00,2.8188462257385254,4.0944600105285645,4.97096538130954
2016-01-02 06:00:00,2.6909074783325195,3.9823758602142334,4.8062772026759895
2016-01-02 07:00:00,2.496976375579834,4.0505266189575195,4.758325011081866
2016-01-02 08:00:00,2.282872200012207,3.710641860961914,4.356646474286325
2016-01-02 09:00:00,2.1472198963165283,3.680929660797119,4.261431267880964
2016-01-02 10:00:00,2.278604507446289,3.622957229614258,4.279936633756248
2016-01-02 11:00:00,2.086435556411743,3.5278244018554688,4.098628836743585
2016-01-02 12:00:00,1.816872477531433,3.257798910140991,3.7301848933433632
2016-01-02 13:00:00,1.6717958450317383,3.161421775817871,3.576239504295092
2016-01-02 14:00:00,1.5258076190948486,3.2447328567504883,3.585579479270272
2016-01-02 15:00:00,0.6086023449897766,4.9305524826049805,4.967971879756284
2016-01-02 16:00:00,0.7141354084014893,4.89772367477417,4.949513771672543
2016-01-02 17:00:00,1.3045647144317627,4.937848091125488,5.107272546591973
2016-01-02 18:00:00,1.8213450908660889,5.011837005615234,5.332523615594804
2016-01-02 19:00:00,1.870361328125,4.967216491699219,5.307682278843959
2016-01-02 20:00:00,1.8588242530822754,4.814715385437012,5.161076617006451
2016-01-02 21:00:00,1.7626190185546875,4.07149600982666,4.436654771627505
2016-01-02 22:00:00,1.4976545572280884,2.1756937503814697,2.6413277850798917
2016-01-02 23:00:00,1.6608905792236328,1.4847679138183594,2.227800097418603
2016-01-03 00:00:00,1.567086935043335,2.1494669914245605,2.6600695121006264
2016-01-03 01:00:00,1.9062144756317139,2.347078323364258,3.0236451979546586
2016-01-03 02:00:00,2.004098415374756,2.121307373046875,2.9182795324387008
2016-01-03 03:00:00,1.9802131652832031,2.2209718227386475,2.975560454327882
2016-01-03 04:00:00,1.8897287845611572,2.492004871368408,3.1274851171704823
2016-01-03 05:00:00,2.0134525299072266,2.797349214553833,3.4466148201321767
2016-01-03 06:00:00,2.0976853370666504,2.8192973136901855,3.514074716952547
2016-01-03 07:00:00,1.9102818965911865,2.612220525741577,3.2361818551418926
2016-01-03 08:00:00,1.3954713344573975,2.4633500576019287,2.8311541377289466
2016-01-03 09:00:00,0.549776554107666,2.510984420776367,2.5704663041611977
2016-01-03 10:00:00,-0.045006416738033295,2.5896387100219727,2.590029773186375
2016-01-03 11:00:00,-0.18140053749084473,2.116248607635498,2.1240090217136913
2016-01-03 12:00:00,-1.3523304462432861,4.3973493576049805,4.600595505873724
2016-01-03 13:00:00,-0.7498012781143188,2.0011026859283447,2.1369637143132545
2016-01-03 14:00:00,-1.561269760131836,2.5394790172576904,2.9810261560399307
2016-01-03 15:00:00,-3.289673089981079,2.054642677307129,3.8785958245681473
2016-01-03 16:00:00,-3.7342185974121094,1.6489081382751465,4.082068909478191
2016-01-03 17:00:00,-3.046478271484375,2.2171506881713867,3.7678623956675064
2016-01-03 18:00:00,-3.2611241340637207,2.726274013519287,4.250588266882999
2016-01-03 19:00:00,-3.8715646266937256,2.47263240814209,4.5937918634240145
2016-01-03 20:00:00,-4.2959089279174805,2.4862499237060547,4.963493950846468
2016-01-03 21:00:00,-3.9406678676605225,2.0804505348205566,4.456134835375527
2016-01-03 22:00:00,-3.225536823272705,1.7938215732574463,3.69078360717233
