,Enhanc_FM(ppm)
8/01/2016 19:00,8.433683319
8/01/2016 20:00,10.38760713
8/01/2016 21:00,10.89900873
8/01/2016 22:00,12.48720278
8/01/2016 23:00,7.077284309
9/01/2016 00:00,4.645992147
9/01/2016 01:00,2.756423371
9/01/2016 02:00,3.748662996
9/01/2016 03:00,4.676453933
9/01/2016 04:00,5.411444814
9/01/2016 05:00,6.203059848
9/01/2016 06:00,7.760767741
9/01/2016 07:00,23.17358673
9/01/2016 08:00,28.14413982
9/01/2016 09:00,13.2974039
9/01/2016 10:00,5.277940793
9/01/2016 11:00,9.682226011
9/01/2016 12:00,7.06849221
9/01/2016 13:00,44.01964142
9/01/2016 14:00,34.82368284
9/01/2016 15:00,25.80897305
9/01/2016 16:00,11.01298127
9/01/2016 17:00,8.287789071
9/01/2016 18:00,5.157062906
9/01/2016 19:00,4.701689591
9/01/2016 20:00,4.055193893
9/01/2016 21:00,3.392397105
9/01/2016 22:00,4.878658821
9/01/2016 23:00,3.902660694
10/01/2016 00:00,3.35767231
10/01/2016 01:00,3.243179954
10/01/2016 02:00,2.736759136
10/01/2016 03:00,2.900552298
10/01/2016 04:00,8.008969333
10/01/2016 05:00,2.68916093
10/01/2016 06:00,1.719568057
10/01/2016 07:00,1.437375612
10/01/2016 08:00,1.328233551
10/01/2016 09:00,1.369176821
10/01/2016 10:00,1.375348068
10/01/2016 11:00,1.871570837
10/01/2016 12:00,2.61269326
10/01/2016 13:00,3.105810794
10/01/2016 14:00,2.361591115
10/01/2016 15:00,1.938563269
10/01/2016 16:00,1.709344141
10/01/2016 17:00,1.48310109
10/01/2016 18:00,1.354774378
10/01/2016 19:00,1.107742973
10/01/2016 20:00,1.20730061
10/01/2016 21:00,2.191970276
10/01/2016 22:00,2.520874573
10/01/2016 23:00,2.550641517
11/01/2016 00:00,2.287425962
11/01/2016 01:00,2.313678696
11/01/2016 02:00,2.125582832
11/01/2016 03:00,2.098859797
11/01/2016 04:00,2.289305531
11/01/2016 05:00,2.322914872
11/01/2016 06:00,2.154757295
11/01/2016 07:00,2.08661838
11/01/2016 08:00,2.288312475
11/01/2016 09:00,2.396855946
11/01/2016 10:00,2.596485246
11/01/2016 11:00,3.387252059
11/01/2016 12:00,10.45862351
11/01/2016 13:00,25.32719966
11/01/2016 14:00,3.653412446
11/01/2016 15:00,3.960514931
11/01/2016 16:00,2.845324783
11/01/2016 17:00,2.010292063
11/01/2016 18:00,2.050315276
11/01/2016 19:00,2.330187254
11/01/2016 20:00,2.658334732
11/01/2016 21:00,3.517667309
11/01/2016 22:00,4.138227076
11/01/2016 23:00,6.079792595
12/01/2016 00:00,3.861213356
12/01/2016 01:00,2.938533808
12/01/2016 02:00,2.600372925
12/01/2016 03:00,2.51081857
12/01/2016 04:00,1.961438334
12/01/2016 05:00,2.169780467
12/01/2016 06:00,2.372466429
12/01/2016 07:00,2.651418418
12/01/2016 08:00,8.388942073
12/01/2016 09:00,5.632511633
12/01/2016 10:00,6.335160656
12/01/2016 11:00,4.464001653
12/01/2016 12:00,6.847230754
12/01/2016 13:00,19.23296693
12/01/2016 14:00,5.702430104
12/01/2016 15:00,3.49980199
12/01/2016 16:00,3.077767301
12/01/2016 17:00,2.464852038
12/01/2016 18:00,2.157393108
12/01/2016 19:00,2.207665681
12/01/2016 20:00,2.560714994
12/01/2016 21:00,2.775676517
12/01/2016 22:00,4.103609628
12/01/2016 23:00,3.055176584
13/01/2016 00:00,2.901324165
13/01/2016 01:00,2.895567541
13/01/2016 02:00,3.020965484
13/01/2016 03:00,2.628817355
13/01/2016 04:00,2.487196882
13/01/2016 05:00,2.731595217
13/01/2016 06:00,2.184206917
13/01/2016 07:00,2.139083962
13/01/2016 08:00,2.39644138
13/01/2016 09:00,3.441124354
13/01/2016 10:00,4.214311552
13/01/2016 11:00,6.010220668
13/01/2016 12:00,8.023776677
13/01/2016 13:00,15.49115753
13/01/2016 14:00,12.51626398
13/01/2016 15:00,16.64252471
13/01/2016 16:00,15.81906472
13/01/2016 17:00,2.900565135
13/01/2016 18:00,2.84467897
13/01/2016 19:00,3.493530429
13/01/2016 20:00,3.758492106
13/01/2016 21:00,4.452984991
13/01/2016 22:00,7.071577706
13/01/2016 23:00,7.178644298
14/01/2016 00:00,5.792649197
14/01/2016 01:00,4.953550536
14/01/2016 02:00,3.774714249
14/01/2016 03:00,4.097075532
14/01/2016 04:00,3.366005238
14/01/2016 05:00,3.47725502
14/01/2016 06:00,7.912894053
14/01/2016 07:00,27.10187791
14/01/2016 08:00,16.66774286
14/01/2016 09:00,5.986897485
14/01/2016 10:00,6.552416142
14/01/2016 11:00,9.288722892
14/01/2016 12:00,6.822313076
14/01/2016 13:00,9.163394212
14/01/2016 14:00,8.331900388
14/01/2016 15:00,9.027039877
14/01/2016 16:00,8.240174322
14/01/2016 17:00,8.292782414
14/01/2016 18:00,7.683840459
14/01/2016 19:00,7.080827681
14/01/2016 20:00,7.339834999
14/01/2016 21:00,6.956828687
14/01/2016 22:00,8.094409744
14/01/2016 23:00,8.989614301
15/01/2016 00:00,5.918191407
15/01/2016 01:00,4.904038484
15/01/2016 02:00,4.765122233
15/01/2016 03:00,5.186361557
15/01/2016 04:00,5.346984316
15/01/2016 05:00,4.883955946
15/01/2016 06:00,3.522712788
15/01/2016 07:00,3.8630869
15/01/2016 08:00,4.159742537
15/01/2016 09:00,5.114778619
15/01/2016 10:00,5.347031027
15/01/2016 11:00,7.180054961
15/01/2016 12:00,9.03353616
15/01/2016 13:00,7.975710739
15/01/2016 14:00,6.683175018
15/01/2016 15:00,4.979265185
15/01/2016 16:00,4.946210979
15/01/2016 17:00,5.742511377
15/01/2016 18:00,6.972273255
15/01/2016 19:00,9.118487114
15/01/2016 20:00,9.847835943
15/01/2016 21:00,6.959751703
15/01/2016 22:00,17.60751683
15/01/2016 23:00,20.46206909
16/01/2016 00:00,6.776752837
16/01/2016 01:00,4.097697657
16/01/2016 02:00,2.915895579
16/01/2016 03:00,2.176637442
16/01/2016 04:00,2.232006091
16/01/2016 05:00,2.276729384
16/01/2016 06:00,2.316674914
16/01/2016 07:00,2.428297427
16/01/2016 08:00,2.65579805
16/01/2016 09:00,2.890073137
16/01/2016 10:00,3.320419067
16/01/2016 11:00,5.098545988
16/01/2016 12:00,7.181310353
16/01/2016 13:00,7.563259805
16/01/2016 14:00,6.588936513
16/01/2016 15:00,5.745402018
16/01/2016 16:00,4.761455714
16/01/2016 17:00,3.961526176
16/01/2016 18:00,4.301712084
16/01/2016 19:00,4.871613439
16/01/2016 20:00,6.416974446
16/01/2016 21:00,5.7983662
16/01/2016 22:00,8.691419839
16/01/2016 23:00,6.239095897
17/01/2016 00:00,5.762159689
17/01/2016 01:00,9.836371997
17/01/2016 02:00,6.55486318
17/01/2016 03:00,5.714967071
17/01/2016 04:00,4.251774388
17/01/2016 05:00,3.315724565
17/01/2016 06:00,2.929017192
17/01/2016 07:00,2.720679788
17/01/2016 08:00,2.557561748
17/01/2016 09:00,2.655691407
17/01/2016 10:00,2.584407808
17/01/2016 11:00,3.141206788
17/01/2016 12:00,3.742058989
17/01/2016 13:00,3.557854647
17/01/2016 14:00,3.003748297
17/01/2016 15:00,2.770224193
17/01/2016 16:00,3.084243508
17/01/2016 17:00,1.999881555
17/01/2016 18:00,1.688623666
17/01/2016 19:00,1.476684384
17/01/2016 20:00,1.372848126
17/01/2016 21:00,2.276314216
17/01/2016 22:00,2.425220574
17/01/2016 23:00,2.248694644
18/01/2016 00:00,2.481779525
18/01/2016 01:00,2.484151056
18/01/2016 02:00,1.925786343
18/01/2016 03:00,1.574984026
18/01/2016 04:00,1.377207274
18/01/2016 05:00,1.139138059
18/01/2016 06:00,1.066446891
18/01/2016 07:00,1.114480693
18/01/2016 08:00,1.192452003
18/01/2016 09:00,1.251117984
18/01/2016 10:00,1.426502723
18/01/2016 11:00,1.832733877
18/01/2016 12:00,2.27632428
18/01/2016 13:00,2.188877018
18/01/2016 14:00,2.010131286
18/01/2016 15:00,1.790200971
18/01/2016 16:00,1.918425321
18/01/2016 17:00,1.358216526
18/01/2016 18:00,1.249036255
18/01/2016 19:00,1.117892551
18/01/2016 20:00,1.142953082
18/01/2016 21:00,1.97371413
18/01/2016 22:00,2.129725836
18/01/2016 23:00,2.142781562
19/01/2016 00:00,2.084504914
19/01/2016 01:00,2.14423913
19/01/2016 02:00,2.188748606
19/01/2016 03:00,2.140056957
19/01/2016 04:00,2.527651623
19/01/2016 05:00,2.131950218
19/01/2016 06:00,2.103912478
19/01/2016 07:00,2.212807414
19/01/2016 08:00,2.371522435
19/01/2016 09:00,2.803733574
19/01/2016 10:00,3.359608367
19/01/2016 11:00,4.390103908
19/01/2016 12:00,6.067274967
19/01/2016 13:00,5.995271752
19/01/2016 14:00,4.252907607
19/01/2016 15:00,4.13264805
19/01/2016 16:00,4.185464958
19/01/2016 17:00,3.880469532
19/01/2016 18:00,5.078632621
19/01/2016 19:00,6.303586377
19/01/2016 20:00,6.824006863
19/01/2016 21:00,7.565017772
19/01/2016 22:00,11.70971639
19/01/2016 23:00,9.294116524
20/01/2016 00:00,4.093395883
20/01/2016 01:00,2.398999748
20/01/2016 02:00,2.147187889
20/01/2016 03:00,1.927048429
20/01/2016 04:00,1.464442142
20/01/2016 05:00,1.359670794
20/01/2016 06:00,1.162269941
20/01/2016 07:00,1.359709897
20/01/2016 08:00,1.45062104
20/01/2016 09:00,1.813876385
20/01/2016 10:00,2.163916229
20/01/2016 11:00,3.047046075
20/01/2016 12:00,3.107284117
20/01/2016 13:00,3.527795086
20/01/2016 14:00,3.206870981
20/01/2016 15:00,3.133936694
20/01/2016 16:00,4.489238491
20/01/2016 17:00,5.495647669
20/01/2016 18:00,8.64772188
20/01/2016 19:00,9.511742361
20/01/2016 20:00,11.26151447
20/01/2016 21:00,10.10563353
20/01/2016 22:00,11.51333999
20/01/2016 23:00,8.719234543
21/01/2016 00:00,12.52463718
21/01/2016 01:00,17.23237658
21/01/2016 02:00,22.19441403
21/01/2016 03:00,11.90938385
21/01/2016 04:00,10.17522239
21/01/2016 05:00,8.595251504
21/01/2016 06:00,7.88951333
21/01/2016 07:00,4.272689947
21/01/2016 08:00,2.214728299
21/01/2016 09:00,2.609263424
21/01/2016 10:00,3.558463468
21/01/2016 11:00,4.614184169
21/01/2016 12:00,5.816246628
21/01/2016 13:00,6.973989016
21/01/2016 14:00,6.470329601
21/01/2016 15:00,4.013714324
21/01/2016 16:00,3.473178046
21/01/2016 17:00,2.699297313
21/01/2016 18:00,1.606395294
21/01/2016 19:00,1.595577601
