station,valid,sped
BOS,2021-01-06 01:54,11.50
BOS,2021-01-06 02:54,11.50
BOS,2021-01-06 03:32,10.35
BOS,2021-01-06 03:54,10.35
BOS,2021-01-06 04:54,10.35
BOS,2021-01-06 05:54,10.35
BOS,2021-01-06 06:54,8.05
BOS,2021-01-06 07:54,11.50
BOS,2021-01-06 08:54,8.05
BOS,2021-01-06 09:17,10.35
BOS,2021-01-06 09:40,9.20
BOS,2021-01-06 09:54,11.50
BOS,2021-01-06 10:54,10.35
BOS,2021-01-06 11:54,10.35
BOS,2021-01-06 12:54,12.65
BOS,2021-01-06 13:54,13.80
BOS,2021-01-06 14:54,13.80
BOS,2021-01-06 15:54,14.95
BOS,2021-01-06 16:54,13.80
BOS,2021-01-06 17:54,14.95
BOS,2021-01-06 18:54,17.25
BOS,2021-01-06 19:54,12.65
BOS,2021-01-06 20:54,14.95
BOS,2021-01-06 21:54,16.10
BOS,2021-01-06 22:54,10.35
BOS,2021-01-06 23:54,14.95
BOS,2021-01-07 00:54,16.10
BOS,2021-01-07 01:54,16.10
BOS,2021-01-07 02:54,17.25
BOS,2021-01-07 03:54,13.80
BOS,2021-01-07 04:54,17.25
BOS,2021-01-07 05:54,13.80
BOS,2021-01-07 06:54,14.95
BOS,2021-01-07 07:54,11.50
BOS,2021-01-07 08:54,12.65
BOS,2021-01-07 09:54,13.80
BOS,2021-01-07 10:54,17.25
BOS,2021-01-07 11:54,16.10
BOS,2021-01-07 12:54,17.25
BOS,2021-01-07 13:54,11.50
BOS,2021-01-07 14:54,10.35
BOS,2021-01-07 15:54,14.95
BOS,2021-01-07 16:54,12.65
BOS,2021-01-07 17:54,12.65
BOS,2021-01-07 18:54,11.50
BOS,2021-01-07 19:54,11.50
BOS,2021-01-07 20:54,11.50
BOS,2021-01-07 21:54,11.50
BOS,2021-01-07 22:54,14.95
BOS,2021-01-07 23:54,18.40
BOS,2021-01-08 00:54,14.95
BOS,2021-01-08 01:54,16.10
BOS,2021-01-08 02:54,17.25
BOS,2021-01-08 03:54,10.35
BOS,2021-01-08 04:54,11.50
BOS,2021-01-08 05:54,11.50
BOS,2021-01-08 06:54,14.95
BOS,2021-01-08 07:54,11.50
BOS,2021-01-08 08:54,12.65
BOS,2021-01-08 09:54,11.50
BOS,2021-01-08 10:54,10.35
BOS,2021-01-08 11:54,9.20
BOS,2021-01-08 12:54,10.35
BOS,2021-01-08 13:54,10.35
BOS,2021-01-08 14:54,10.35
BOS,2021-01-08 15:54,8.05
BOS,2021-01-08 16:54,8.05
BOS,2021-01-08 17:54,8.05
BOS,2021-01-08 18:54,10.35
BOS,2021-01-08 19:54,6.90
BOS,2021-01-08 20:54,13.80
BOS,2021-01-08 21:54,13.80
BOS,2021-01-08 22:54,11.50
BOS,2021-01-08 23:54,12.65
BOS,2021-01-09 00:54,11.50
BOS,2021-01-09 01:54,8.05
BOS,2021-01-09 02:54,9.20
BOS,2021-01-09 03:54,11.50
BOS,2021-01-09 04:54,10.35
BOS,2021-01-09 05:21,12.65
BOS,2021-01-09 05:54,11.50
BOS,2021-01-09 06:54,11.50
BOS,2021-01-09 07:54,10.35
BOS,2021-01-09 08:54,11.50
BOS,2021-01-09 09:54,11.50
BOS,2021-01-09 10:54,12.65
BOS,2021-01-09 12:54,11.50
BOS,2021-01-09 13:54,10.35
BOS,2021-01-09 15:54,16.10
BOS,2021-01-09 16:54,12.65
BOS,2021-01-09 17:54,11.50
BOS,2021-01-09 18:54,4.60
BOS,2021-01-09 19:54,11.50
BOS,2021-01-09 20:54,11.50
BOS,2021-01-09 21:54,10.35
BOS,2021-01-09 22:54,10.35
BOS,2021-01-09 23:54,10.35
BOS,2021-01-10 00:54,11.50
BOS,2021-01-10 01:54,13.80
BOS,2021-01-10 02:54,10.35
BOS,2021-01-10 03:54,8.05
BOS,2021-01-10 04:54,13.80
BOS,2021-01-10 05:54,10.35
BOS,2021-01-10 06:54,13.80
BOS,2021-01-10 07:54,16.10
BOS,2021-01-10 08:54,11.50
BOS,2021-01-10 09:54,11.50
BOS,2021-01-10 11:54,14.95
BOS,2021-01-10 12:54,10.35
BOS,2021-01-10 13:54,11.50
BOS,2021-01-10 14:54,9.20
BOS,2021-01-10 15:54,8.05
BOS,2021-01-10 16:54,11.50
BOS,2021-01-10 17:54,9.20
BOS,2021-01-10 18:54,9.20
BOS,2021-01-10 19:54,9.20
BOS,2021-01-10 20:54,6.90
BOS,2021-01-10 21:54,6.90
BOS,2021-01-10 22:54,5.75
BOS,2021-01-10 23:54,6.90
BOS,2021-01-11 00:54,4.60
BOS,2021-01-11 01:54,5.75
BOS,2021-01-11 02:54,5.75
BOS,2021-01-11 03:54,6.90
BOS,2021-01-11 04:54,3.45
BOS,2021-01-11 05:54,4.60
BOS,2021-01-11 06:54,5.75
BOS,2021-01-11 07:54,5.75
BOS,2021-01-11 08:54,3.45
BOS,2021-01-11 09:54,4.60
BOS,2021-01-11 10:54,0.00
BOS,2021-01-11 11:54,5.75
BOS,2021-01-11 12:54,3.45
BOS,2021-01-11 13:54,0.00
BOS,2021-01-11 14:54,5.75
BOS,2021-01-11 15:54,9.20
BOS,2021-01-11 16:54,10.35
BOS,2021-01-11 17:54,8.05
BOS,2021-01-11 18:54,10.35
BOS,2021-01-11 19:54,8.05
BOS,2021-01-11 20:54,6.90
BOS,2021-01-11 21:54,6.90
BOS,2021-01-11 22:54,8.05
BOS,2021-01-11 23:54,6.90
BOS,2021-01-12 00:54,6.90
BOS,2021-01-12 01:54,5.75
BOS,2021-01-12 02:54,5.75
BOS,2021-01-12 03:54,3.45
BOS,2021-01-12 04:54,3.45
BOS,2021-01-12 05:54,0.00
BOS,2021-01-12 06:54,9.20
BOS,2021-01-12 07:54,4.60
BOS,2021-01-12 08:54,8.05
BOS,2021-01-12 09:54,3.45
BOS,2021-01-12 10:54,5.75
BOS,2021-01-12 11:54,6.90
BOS,2021-01-12 12:54,10.35
BOS,2021-01-12 13:54,10.35
BOS,2021-01-12 14:54,10.35
BOS,2021-01-12 15:54,9.20
BOS,2021-01-12 16:54,11.50
BOS,2021-01-12 17:54,8.05
BOS,2021-01-12 18:54,9.20
BOS,2021-01-12 19:54,8.05
BOS,2021-01-12 20:54,9.20
BOS,2021-01-12 21:54,6.90
BOS,2021-01-12 22:54,6.90
BOS,2021-01-12 23:54,6.90
BOS,2021-01-13 00:54,6.90
BOS,2021-01-13 01:54,4.60
BOS,2021-01-13 02:54,5.75
BOS,2021-01-13 03:54,6.90
BOS,2021-01-13 04:54,9.20
BOS,2021-01-13 05:54,6.90
BOS,2021-01-13 06:54,9.20
BOS,2021-01-13 07:54,5.75
BOS,2021-01-13 08:54,4.60
BOS,2021-01-13 09:54,5.75
BOS,2021-01-13 10:54,6.90
BOS,2021-01-13 11:54,6.90
BOS,2021-01-13 12:54,5.75
BOS,2021-01-13 13:54,6.90
BOS,2021-01-13 14:54,0.00
BOS,2021-01-13 15:54,3.45
BOS,2021-01-13 16:54,8.05
BOS,2021-01-13 17:54,6.90
BOS,2021-01-13 18:54,5.75
BOS,2021-01-13 19:54,10.35
BOS,2021-01-13 20:54,11.50
BOS,2021-01-13 21:54,9.20
BOS,2021-01-13 22:54,4.60
BOS,2021-01-13 23:54,9.20
BOS,2021-01-14 00:54,9.20
BOS,2021-01-14 01:54,9.20
BOS,2021-01-14 02:54,9.20
BOS,2021-01-14 03:54,6.90
BOS,2021-01-14 04:54,5.75
BOS,2021-01-14 05:54,3.45
BOS,2021-01-14 06:54,8.05
BOS,2021-01-14 07:54,5.75
BOS,2021-01-14 08:54,4.60
BOS,2021-01-14 09:54,5.75
BOS,2021-01-14 10:54,3.45
BOS,2021-01-14 11:54,4.60
BOS,2021-01-14 12:54,5.75
BOS,2021-01-14 13:54,5.75
BOS,2021-01-14 14:54,9.20
BOS,2021-01-14 15:54,5.75
BOS,2021-01-14 16:54,0.00
BOS,2021-01-14 17:54,4.60
BOS,2021-01-14 18:54,0.00
BOS,2021-01-14 19:09,0.00
BOS,2021-01-14 19:54,4.60
BOS,2021-01-14 20:10,4.60
BOS,2021-01-14 20:54,4.60
BOS,2021-01-14 21:08,4.60
BOS,2021-01-14 21:13,5.75
BOS,2021-01-14 21:22,4.60
BOS,2021-01-14 21:54,5.75
BOS,2021-01-14 22:54,6.90
BOS,2021-01-14 23:54,8.05
BOS,2021-01-15 00:45,6.90
BOS,2021-01-15 00:54,8.05
BOS,2021-01-15 01:46,4.60
BOS,2021-01-15 01:54,4.60
BOS,2021-01-15 02:37,5.75
BOS,2021-01-15 02:45,4.60
BOS,2021-01-15 02:58,5.75
BOS,2021-01-15 03:39,5.75
BOS,2021-01-15 03:54,5.75
BOS,2021-01-15 04:54,8.05
BOS,2021-01-15 05:38,6.90
